Name,Zipcode,Group,Population,Median Age,Household Income,Per Capita Income,Poverty Count,Poverty Rate
ZCTA5 84054,84054,NORTH SALT LAKE,21443.0,30.8,85213.0,35917.0,628.0,2.9286946789161963
ZCTA5 84087,84087,NORTH SALT LAKE,16133.0,34.4,102639.0,37678.0,949.0,5.882352941176471
ZCTA5 84101,84101,SALT LAKE CITY,6422.0,35.8,50000.0,52194.0,894.0,13.920896916848333
ZCTA5 84102,84102,SALT LAKE CITY,18995.0,28.9,46906.0,38383.0,5188.0,27.312450644906555
ZCTA5 84103,84103,SALT LAKE CITY,22888.0,36.8,73911.0,68737.0,2248.0,9.821740650122335
ZCTA5 84104,84104,SALT LAKE CITY,24809.0,31.0,53401.0,21765.0,3495.0,14.087629489298239
ZCTA5 84105,84105,SALT LAKE CITY,23117.0,35.2,86160.0,52499.0,2081.0,9.002033135787515
ZCTA5 84106,84106,SOUTH SALT LAKE,35714.0,33.9,80388.0,43150.0,3484.0,9.755278042224338
ZCTA5 84107,84107,SALT LAKE CITY,36498.0,34.7,61095.0,35603.0,3873.0,10.611540358375802
ZCTA5 84108,84108,SALT LAKE CITY,21736.0,34.4,110697.0,59979.0,1568.0,7.213838792786161
ZCTA5 84109,84109,SALT LAKE CITY,25856.0,36.2,109926.0,51889.0,967.0,3.7399443069306932
ZCTA5 84111,84111,SALT LAKE CITY,12410.0,33.0,47096.0,37034.0,3059.0,24.649476228847703
ZCTA5 84112,84112,SALT LAKE CITY,2393.0,21.3,21071.0,12022.0,378.0,15.796071876305891
ZCTA5 84113,84113,SALT LAKE CITY,206.0,20.4,-666666666.0,8309.0,0.0,0.0
ZCTA5 84115,84115,SOUTH SALT LAKE,27997.0,33.8,47943.0,28645.0,5229.0,18.677001107261493
ZCTA5 84116,84116,SALT LAKE CITY,35111.0,30.7,56934.0,24472.0,6349.0,18.082652160291648
ZCTA5 84117,84117,SALT LAKE CITY,24437.0,41.1,71980.0,51678.0,1689.0,6.911650366247903
ZCTA5 84118,84118,SALT LAKE CITY,41424.0,30.3,76639.0,24522.0,3784.0,9.134801081498647
ZCTA5 84119,84119,SALT LAKE CNTY UNIFD PD,51636.0,29.7,58909.0,23053.0,6969.0,13.496397861956774
ZCTA5 84120,84120,SALT LAKE CITY,52362.0,30.3,76725.0,24663.0,6043.0,11.540812039265116
ZCTA5 84123,84123,SALT LAKE CNTY UNIFD PD,37662.0,33.8,67262.0,30413.0,2799.0,7.431894216982635
ZCTA5 84128,84128,SALT LAKE CITY,32062.0,30.6,91411.0,26804.0,1945.0,6.066371405402034
ZCTA5 84129,84129,SALT LAKE CNTY UNIFD PD,38388.0,34.8,80518.0,30604.0,3584.0,9.336250911743253
