Incident_Date,tavg,tmin,tmax,prcp,wspd,pres,tsun
1/1/20,2.1,-1.6,5.8,45,10.6,1021.4,
2/1/20,1.7,-3.2,6.5,32,11.1,1021.8,
3/1/20,8,3.1,12.9,39,15,1014,
4/1/20,11.8,5.9,17.8,7,13.4,1013.6,
5/1/20,18.2,11.7,24.7,10,14.7,1011.8,
6/1/20,21.2,14.1,28.3,48,14.5,1010.5,
7/1/20,27.3,19.7,34.8,7,12.8,1009.8,
8/1/20,28.4,20.9,35.8,3,12.4,1009.5,
9/1/20,20.7,13.1,28.4,5,12.7,1016.2,
10/1/20,13.4,6.1,20.6,7,11.1,1018.1,
11/1/20,5.8,0.3,11.4,18,12,1020,
12/1/20,-1.1,-5.4,3.3,9,9,1025.7,
1/1/21,0.6,-4.1,5.3,22,10.4,1022.1,
2/1/21,2.5,-1.6,6.5,45,11.7,1017.4,
3/1/21,7.1,1.3,12.8,40,14,1015.7,
4/1/21,10.7,4.4,17.1,46,13,1013.5,
5/1/21,17.1,10.4,23.7,17,13.3,1011.1,
6/1/21,26.8,19.3,34.2,3,14.6,1008.9,
7/1/21,29.8,22.8,36.9,13,12.8,1011,
8/1/21,24.9,17.7,32,58,13.4,1011.1,
9/1/21,21.3,14,28.6,4,12.6,1013.8,
10/1/21,11.8,6.1,17.4,89,12.8,1015.5,
11/1/21,7.2,2.1,12.3,9,8.6,1023.5,
12/1/21,1.5,-3,6.1,46.8,14.5,1015,
